Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
0.13%     [linker]__aarch64_cas4_acq
0.13%     [linker]__memcpy_aarch64_simd
0.13%     [linker]__strrchr_aarch64
0.13%     __memset_aarch64
0.13%     cpsr_write_arm
0.13%     eglGetError
0.13%     get_page_addr_code_hostp_arm
0.13%     libdbgengine.so[+168e30]
0.13%     libdbgengine.so[+168f50]
0.13%     libdbgengine.so[+168f5c]
0.13%     libdbgengine.so[+175704]
0.13%     libdbgengine.so[+175744]
0.13%     libdbgengine.so[+175750]
0.13%     libdbgengine.so[+1759c0]
0.13%     libdbgengine.so[+176054]
0.13%     libdbgengine.so[+176058]
0.13%     libdbgengine.so[+176510]
0.13%     libdbgengine.so[+176540]
0.13%     libdbgengine.so[+1cedc4]
0.13%     libdbgengine.so[+1cede0]
0.13%     linker64[+165414]
0.13%     uc_reg_write
0.11%     !!!0000!4c22187f810027df01e5e387c953ed!0c393b63cf!
0.11%     !!!0000!9814ca8a64c60518a57bf159bd1719!0c393b63cf!
0.11%     !!!0000!c5e94559d55ada6c1cacd9feda346d!0c393b63cf!
0.11%     !!!0000!fd7498413de80da11b66fb6ac2c9ef!0c393b63cf!
0.11%     [linker]ContextsSerialized::GetSerialPropArea()
0.11%     [linker]ScopedTrace::ScopedTrace(char const*)
0.11%     [linker]SystemProperties::AreaSerial()
0.11%     [linker]__memset_aarch64
0.11%     [linker]dlsym_impl(void*, char const*, char const*, void const*)
0.11%     [linker]pthread_mutex_unlock
0.11%     [linker]should_trace()
0.11%     __bionic_setjmp_cookie_check
0.11%     android::eglGetErrorImpl()
0.11%     eglGetCurrentContext
0.11%     gettid
0.11%     libdbgengine.so[+168df8]
0.11%     libdbgengine.so[+168e1c]
0.11%     libdbgengine.so[+168f44]
0.11%     libdbgengine.so[+173a38]
0.11%     libdbgengine.so[+174c18]
0.11%     libdbgengine.so[+175700]
0.11%     libdbgengine.so[+175718]
0.11%     libdbgengine.so[+1764b8]
0.11%     libdbgengine.so[+17a1a4]
0.11%     page_collection_lock_arm
0.11%     unknown[+7480307d84]
0.09%     !!!0000!3d4885ddc2ae7e6ebcbf859c7d4ffd!0c393b63cf!
0.09%     !!!0000!524ec9ede0c269e71cd9db594e02ce!0c393b63cf!
0.09%     !!!0000!6642a709aefb598e3c7ff817eaf381!0c393b63cf!
0.09%     !!!0000!70f8c51321d6fb62e2620eea306542!0c393b63cf!
0.09%     [linker]BionicAllocator::alloc_impl(unsigned long, unsigned long)
0.09%     [linker]BionicAllocator::free(void*)
0.09%     [linker]BionicAllocator::get_small_object_allocator(page_info*, void*)
0.09%     [linker]LinkerBlockAllocator::alloc()
0.09%     [linker]__memcmp_aarch64
0.09%     [linker]calculate_gnu_hash_neon(char const*)
0.09%     [linker]dlsym_handle_lookup_impl(android_namespace_t*, soinfo*, soinfo*, soinfo**, SymbolName&, version_info const*) (.__uniq.250007671217850615957365636956552013758)
0.09%     [linker]pthread_mutex_lock
0.09%     [linker]std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::append[abi:nn200000](std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&)
0.09%     android::IPCThreadState::executeCommand(int)
0.09%     float32_to_int32_round_to_zero_arm
0.09%     float64_mul_arm
0.09%     libdbgengine.so[+14fcdc]
0.09%     libdbgengine.so[+166cc0]
0.09%     libdbgengine.so[+168f00]
0.09%     libdbgengine.so[+168f6c]
0.09%     libdbgengine.so[+1739d8]
0.09%     libdbgengine.so[+173a58]
0.09%     libdbgengine.so[+173a7c]
0.09%     libdbgengine.so[+174ed4]
0.09%     libdbgengine.so[+175714]
0.09%     libdbgengine.so[+175778]
0.09%     libdbgengine.so[+1757a4]
0.09%     libdbgengine.so[+1757b0]
0.09%     libdbgengine.so[+17580c]
0.09%     libdbgengine.so[+175ac4]
0.09%     libdbgengine.so[+175fa4]
0.09%     libdbgengine.so[+175fb0]
0.09%     libdbgengine.so[+175fb4]
0.09%     libdbgengine.so[+1764d0]
0.09%     libdbgengine.so[+1764ec]
0.09%     libdbgengine.so[+1cedc0]
0.09%     libdbgengine.so[+2283bc]
0.09%     pthread_mutex_lock
0.09%     tcg_optimize_arm
0.06%     !!!0000!43d4698773cd03c45eb5ca79e34846!0c393b63cf!
0.06%     !!!0000!44e6cf2d5367acd14cfb232e5f66a9!0c393b63cf!
0.06%     !!!0000!48599c4b839f0885dc777b58151ca9!0c393b63cf!
0.06%     !!!0000!74d52af30f57300181536321fc4c4f!0c393b63cf!
0.06%     !!!0000!8997dbf45d6193a6eeb1b2fd5b9463!0c393b63cf!
0.06%     !!!0000!8fb6745aaf9ec65ae404c86b497bd2!0c393b63cf!
0.06%     !!!0000!b13354cab2548f04deb00c3c37f74a!0c393b63cf!
0.06%     !!!0000!c497314db84f3681769509a4ce9622!0c393b63cf!
0.06%     !!!0000!d0051afa8fb0bb02a68e169738355f!0c393b63cf!
0.06%     !!!0000!d78d3b1c92b57f48440f9205b27e24!0c393b63cf!
0.06%     !!!0000!da77ca49d291dcb7c602c75bb1d44c!0c393b63cf!
0.06%     BeachRuntime::allocate(unsigned int)
0.06%     BeachRuntime::result(unsigned int)
0.06%     [linker]ContextsSerialized::GetPropAreaForName(char const*)
0.06%     [linker]soinfo::find_symbol_by_name(SymbolName&, version_info const*) const
0.06%     [linker]std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::__grow_by_and_replace(unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, char const*)
0.06%     __aarch64_ldadd8_acq_rel
0.06%     android::egl_tls_t::getError()
0.06%     arm_rebuild_hflags_arm
0.06%     artQuickGenericJniTrampoline
0.06%     getpid
0.06%     glBindBuffer
0.06%     je_tcache_bin_flush_small
0.06%     libdbgengine.so[+14fcd8]
0.06%     libdbgengine.so[+14fd2c]
0.06%     libdbgengine.so[+14fd30]
0.06%     libdbgengine.so[+166abc]
0.06%     libdbgengine.so[+166ac8]
0.06%     libdbgengine.so[+168e0c]
0.06%     libdbgengine.so[+168f34]
0.06%     libdbgengine.so[+168f3c]
0.06%     libdbgengine.so[+168f70]
0.06%     libdbgengine.so[+1739d4]
0.06%     libdbgengine.so[+1739dc]
0.06%     libdbgengine.so[+173a00]
0.06%     libdbgengine.so[+173a28]
0.06%     libdbgengine.so[+173a2c]
0.06%     libdbgengine.so[+173a3c]
0.06%     libdbgengine.so[+173a44]
0.06%     libdbgengine.so[+173a64]
0.06%     libdbgengine.so[+173a70]
0.06%     libdbgengine.so[+173a78]
0.06%     libdbgengine.so[+173abc]
0.06%     libdbgengine.so[+175720]
