address	name	signature	status	file	diagnostic
0002e78c	<EXTERNAL>::pthread_mutex_destroy	int pthread_mutex_destroy(pthread_mutex_t * __mutex)	ok	functions/0002e78c__EXTERNAL___pthread_mutex_destroy.c	
0002e7a4	<EXTERNAL>::pthread_getspecific	void * pthread_getspecific(pthread_key_t __key)	ok	functions/0002e7a4__EXTERNAL___pthread_getspecific.c	
0002e7b0	<EXTERNAL>::pthread_setspecific	int pthread_setspecific(pthread_key_t __key, void * __pointer)	ok	functions/0002e7b0__EXTERNAL___pthread_setspecific.c	
0002e7bc	<EXTERNAL>::mmap	void * mmap(void * __addr, size_t __len, int __prot, int __flags, int __fd, __off_t __offset)	ok	functions/0002e7bc__EXTERNAL___mmap.c	
0002e7c8	<EXTERNAL>::pthread_key_create	int pthread_key_create(pthread_key_t * __key, __destr_function * __destr_function)	ok	functions/0002e7c8__EXTERNAL___pthread_key_create.c	
0002e7d4	<EXTERNAL>::__assert2	undefined __assert2(void)	ok	functions/0002e7d4__EXTERNAL_____assert2.c	
0002e7e0	<EXTERNAL>::dlopen	undefined dlopen(void)	ok	functions/0002e7e0__EXTERNAL___dlopen.c	
0002e7ec	<EXTERNAL>::dlsym	undefined dlsym(void)	ok	functions/0002e7ec__EXTERNAL___dlsym.c	
0002e7f8	<EXTERNAL>::dlclose	undefined dlclose(void)	ok	functions/0002e7f8__EXTERNAL___dlclose.c	
0002e804	<EXTERNAL>::pthread_cond_wait	int pthread_cond_wait(pthread_cond_t * __cond, pthread_mutex_t * __mutex)	ok	functions/0002e804__EXTERNAL___pthread_cond_wait.c	
0002e810	<EXTERNAL>::pthread_cond_broadcast	int pthread_cond_broadcast(pthread_cond_t * __cond)	ok	functions/0002e810__EXTERNAL___pthread_cond_broadcast.c	
0002e81c	<EXTERNAL>::strcmp	int strcmp(char * __s1, char * __s2)	ok	functions/0002e81c__EXTERNAL___strcmp.c	
0002e828	<EXTERNAL>::strncpy	char * strncpy(char * __dest, char * __src, size_t __n)	ok	functions/0002e828__EXTERNAL___strncpy.c	
0002e834	<EXTERNAL>::realloc	void * realloc(void * __ptr, size_t __size)	ok	functions/0002e834__EXTERNAL___realloc.c	
0002e840	<EXTERNAL>::raise	int raise(int __sig)	ok	functions/0002e840__EXTERNAL___raise.c	
0002e84c	<EXTERNAL>::__gnu_Unwind_Find_exidx	undefined __gnu_Unwind_Find_exidx(void)	ok	functions/0002e84c__EXTERNAL_____gnu_Unwind_Find_exidx.c	
0002e86c	_FINI_0	undefined _FINI_0(void)	ok	functions/0002e86c__FINI_0.c	
0002e87c	STG::MSIMD::BlendVector4f_HW	undefined __stdcall BlendVector4f_HW(float * param_1, float * param_2, float * param_3, float param_4, ulong param_5)	ok	functions/0002e87c_STG__MSIMD__BlendVector4f_HW.c	
0002e8bc	STG::MSIMD::Skin3Vector4f_HW	undefined __stdcall Skin3Vector4f_HW(float * param_1, float * param_2, float * param_3, float * param_4, float * param_5, float * param_6, ulong param_7)	ok	functions/0002e8bc_STG__MSIMD__Skin3Vector4f_HW.c	
0002ea34	STG::UStringBase<char,int>::~UStringBase	undefined __thiscall ~UStringBase(UStringBase<char,int> * this)	ok	functions/0002ea34_STG__UStringBase_char_int____UStringBase.c	
0002ea90	STG::FFileBase::Print	undefined __stdcall Print(char * param_1, ...)	ok	functions/0002ea90_STG__FFileBase__Print.c	
0002eb3c	STG::UStringBase<char,int>::~UStringBase	undefined __thiscall ~UStringBase(UStringBase<char,int> * this)	ok	functions/0002eb3c_STG__UStringBase_char_int____UStringBase.c	
0002eba8	STG::FFileBase::~FFileBase	undefined __thiscall ~FFileBase(FFileBase * this)	ok	functions/0002eba8_STG__FFileBase___FFileBase.c	
0002ec18	STG::FFileBase::~FFileBase	undefined __thiscall ~FFileBase(FFileBase * this)	ok	functions/0002ec18_STG__FFileBase___FFileBase.c	
0002ec34	STG::FFileBase::FFileBase	undefined __thiscall FFileBase(FFileBase * this)	ok	functions/0002ec34_STG__FFileBase__FFileBase.c	
0002ec90	STG::FFileBase::Open	undefined __thiscall Open(FFileBase * this, char * param_1, EAccess param_2)	ok	functions/0002ec90_STG__FFileBase__Open.c	
0002ecd4	STG::FFileBase::Open	undefined __stdcall Open(uchar * param_1, ulong param_2)	ok	functions/0002ecd4_STG__FFileBase__Open.c	
0002ed0c	STG::FFileBase::Close	undefined __thiscall Close(FFileBase * this)	ok	functions/0002ed0c_STG__FFileBase__Close.c	
0002ed20	STG::FFileBase::GetFileSize	undefined __stdcall GetFileSize(void)	ok	functions/0002ed20_STG__FFileBase__GetFileSize.c	
0002ed70	STG::FFileBase::Read	undefined __thiscall Read(FFileBase * this, uchar * param_1, ulong param_2)	ok	functions/0002ed70_STG__FFileBase__Read.c	
0002ede8	STG::FFileBase::ReadAll	undefined __thiscall ReadAll(FFileBase * this, uchar * * param_1, ulong * param_2)	ok	functions/0002ede8_STG__FFileBase__ReadAll.c	
0002ee64	STG::FFileBase::Peek	undefined __stdcall Peek(uchar * param_1, ulong param_2)	ok	functions/0002ee64_STG__FFileBase__Peek.c	
0002eec0	STG::FFileBase::ReadDirect	undefined __thiscall ReadDirect(FFileBase * this, uchar * * param_1, ulong param_2)	ok	functions/0002eec0_STG__FFileBase__ReadDirect.c	
0002eef8	STG::FFileBase::ReadSkip	undefined __thiscall ReadSkip(FFileBase * this, ulong param_1)	ok	functions/0002eef8_STG__FFileBase__ReadSkip.c	
0002efa8	STG::FFileBase::Write	undefined __thiscall Write(FFileBase * this, uchar * param_1, ulong param_2)	ok	functions/0002efa8_STG__FFileBase__Write.c	
0002f014	STG::FFileBase::GetNumBytesRead	undefined __thiscall GetNumBytesRead(FFileBase * this)	ok	functions/0002f014_STG__FFileBase__GetNumBytesRead.c	
0002f01c	STG::FFileBase::GetNumBytesWritten	undefined __thiscall GetNumBytesWritten(FFileBase * this)	ok	functions/0002f01c_STG__FFileBase__GetNumBytesWritten.c	
0002f024	STG::FFileBase::Flush	undefined __thiscall Flush(FFileBase * this)	ok	functions/0002f024_STG__FFileBase__Flush.c	
0002f038	STG::FFileDisk::GetMediaType	undefined __stdcall GetMediaType(void)	ok	functions/0002f038_STG__FFileDisk__GetMediaType.c	
0002f040	STG::FFileDisk::_FOpenMemory	undefined __stdcall _FOpenMemory(uchar * param_1, ulong param_2)	ok	functions/0002f040_STG__FFileDisk___FOpenMemory.c	
0002f048	STG::FFileDisk::_FGetIsOpen	undefined __thiscall _FGetIsOpen(FFileDisk * this)	ok	functions/0002f048_STG__FFileDisk___FGetIsOpen.c	
0002f058	STG::FFileDisk::_FReadDirect	undefined __stdcall _FReadDirect(uchar * * param_1, ulong param_2)	ok	functions/0002f058_STG__FFileDisk___FReadDirect.c	
0002f060	STG::FFileDisk::_FFlush	undefined __thiscall _FFlush(FFileDisk * this)	ok	functions/0002f060_STG__FFileDisk___FFlush.c	
0002f068	STG::FFileDisk::_FPrintf	undefined __stdcall _FPrintf(char * param_1, char * param_2)	ok	functions/0002f068_STG__FFileDisk___FPrintf.c	
0002f070	STG::FFileDisk::_FWrite	undefined __thiscall _FWrite(FFileDisk * this, uchar * param_1, ulong param_2, ulong param_3)	ok	functions/0002f070_STG__FFileDisk___FWrite.c	
0002f088	STG::FFileDisk::_FRead	undefined __thiscall _FRead(FFileDisk * this, uchar * param_1, ulong param_2, ulong param_3)	ok	functions/0002f088_STG__FFileDisk___FRead.c	
0002f0a0	STG::FFileDisk::_FTell	undefined __thiscall _FTell(FFileDisk * this)	ok	functions/0002f0a0_STG__FFileDisk___FTell.c	
0002f0a8	STG::FFileDisk::_FSeek	undefined __thiscall _FSeek(FFileDisk * this, long param_1, int param_2)	ok	functions/0002f0a8_STG__FFileDisk___FSeek.c	
0002f0c0	STG::FFileDisk::_FClose	undefined __thiscall _FClose(FFileDisk * this)	ok	functions/0002f0c0_STG__FFileDisk___FClose.c	
0002f0e8	STG::FFileDisk::_FOpenFile	undefined __thiscall _FOpenFile(FFileDisk * this, char * param_1, char * param_2)	ok	functions/0002f0e8_STG__FFileDisk___FOpenFile.c	
0002f10c	STG::FFileDisk::~FFileDisk	undefined __thiscall ~FFileDisk(FFileDisk * this)	ok	functions/0002f10c_STG__FFileDisk___FFileDisk.c	
0002f15c	STG::FFileDisk::~FFileDisk	undefined __thiscall ~FFileDisk(FFileDisk * this)	ok	functions/0002f15c_STG__FFileDisk___FFileDisk.c	
0002f178	STG::FFileDisk::FFileDisk	undefined __thiscall FFileDisk(FFileDisk * this)	ok	functions/0002f178_STG__FFileDisk__FFileDisk.c	
0002f1a8	STG::FFileDisk::FFileDisk	undefined __thiscall FFileDisk(FFileDisk * this, char * param_1, EAccess param_2)	ok	functions/0002f1a8_STG__FFileDisk__FFileDisk.c	
0002f1f0	STG::FFileMemory::GetMediaType	undefined __stdcall GetMediaType(void)	ok	functions/0002f1f0_STG__FFileMemory__GetMediaType.c	
0002f1f8	STG::FFileMemory::_FOpenFile	undefined __stdcall _FOpenFile(char * param_1, char * param_2)	ok	functions/0002f1f8_STG__FFileMemory___FOpenFile.c	
0002f200	STG::FFileMemory::_FOpenMemory	undefined __thiscall _FOpenMemory(FFileMemory * this, uchar * param_1, ulong param_2)	ok	functions/0002f200_STG__FFileMemory___FOpenMemory.c	
0002f22c	STG::FFileMemory::_FClose	undefined __thiscall _FClose(FFileMemory * this)	ok	functions/0002f22c_STG__FFileMemory___FClose.c	
0002f248	STG::FFileMemory::_FGetIsOpen	undefined __thiscall _FGetIsOpen(FFileMemory * this)	ok	functions/0002f248_STG__FFileMemory___FGetIsOpen.c	
0002f26c	STG::FFileMemory::_FSeek	undefined __thiscall _FSeek(FFileMemory * this, long param_1, int param_2)	ok	functions/0002f26c_STG__FFileMemory___FSeek.c	
0002f2d0	STG::FFileMemory::_FTell	undefined __thiscall _FTell(FFileMemory * this)	ok	functions/0002f2d0_STG__FFileMemory___FTell.c	
0002f2d8	STG::FFileMemory::_FReadDirect	undefined __thiscall _FReadDirect(FFileMemory * this, uchar * * param_1, ulong param_2)	ok	functions/0002f2d8_STG__FFileMemory___FReadDirect.c	
0002f304	STG::FFileMemory::_FWrite	undefined __stdcall _FWrite(uchar * param_1, ulong param_2, ulong param_3)	ok	functions/0002f304_STG__FFileMemory___FWrite.c	
0002f30c	STG::FFileMemory::_FPrintf	undefined __stdcall _FPrintf(char * param_1, char * param_2)	ok	functions/0002f30c_STG__FFileMemory___FPrintf.c	
0002f310	STG::FFileMemory::_FFlush	undefined __stdcall _FFlush(void)	ok	functions/0002f310_STG__FFileMemory___FFlush.c	
0002f314	STG::FFileMemory::_FRead	undefined __thiscall _FRead(FFileMemory * this, uchar * param_1, ulong param_2, ulong param_3)	ok	functions/0002f314_STG__FFileMemory___FRead.c	
0002f354	STG::FFileMemory::~FFileMemory	undefined __thiscall ~FFileMemory(FFileMemory * this)	ok	functions/0002f354_STG__FFileMemory___FFileMemory.c	
0002f3a4	STG::FFileMemory::~FFileMemory	undefined __thiscall ~FFileMemory(FFileMemory * this)	ok	functions/0002f3a4_STG__FFileMemory___FFileMemory.c	
0002f3c0	STG::FFileMemory::FFileMemory	undefined __thiscall FFileMemory(FFileMemory * this)	ok	functions/0002f3c0_STG__FFileMemory__FFileMemory.c	
0002f3f8	STG::FFileMemory::FFileMemory	undefined __thiscall FFileMemory(FFileMemory * this, uchar * param_1, ulong param_2)	ok	functions/0002f3f8_STG__FFileMemory__FFileMemory.c	
0002f448	STG::FFileManager::CloseFile	undefined __thiscall CloseFile(FFileManager * this, FFileBase * * param_1)	ok	functions/0002f448_STG__FFileManager__CloseFile.c	
0002f478	STG::FFileManager::CreateDir	undefined __stdcall CreateDir(UStringBase * param_1)	ok	functions/0002f478_STG__FFileManager__CreateDir.c	
0002f480	STG::FFileManager::CreateTemporaryFile	undefined __stdcall CreateTemporaryFile(UStringBase * param_1)	ok	functions/0002f480_STG__FFileManager__CreateTemporaryFile.c	
0002f488	STG::FFileManager::CopyFileAbsolute	undefined __thiscall CopyFileAbsolute(FFileManager * this, UStringBase * param_1, UStringBase * param_2)	ok	functions/0002f488_STG__FFileManager__CopyFileAbsolute.c	
0002f5ac	STG::FFileManager::~FFileManager	undefined __thiscall ~FFileManager(FFileManager * this)	ok	functions/0002f5ac_STG__FFileManager___FFileManager.c	
0002f658	STG::FFileManager::~FFileManager	undefined __thiscall ~FFileManager(FFileManager * this)	ok	functions/0002f658_STG__FFileManager___FFileManager.c	
0002f714	STG::FFileManager::HasValidBasePath	undefined __thiscall HasValidBasePath(FFileManager * this)	ok	functions/0002f714_STG__FFileManager__HasValidBasePath.c	
0002f740	STG::FFileManager::ClearBasePath	undefined __thiscall ClearBasePath(FFileManager * this)	ok	functions/0002f740_STG__FFileManager__ClearBasePath.c	
0002f77c	STG::FFileManager::GetPathFlags	undefined __thiscall GetPathFlags(FFileManager * this, UStringBase * param_1, UStringBase * param_2, UStringBase * param_3, UStringBase * param_4)	ok	functions/0002f77c_STG__FFileManager__GetPathFlags.c	
0002f950	STG::FFileManager::GetIsPathAbsolute	undefined __thiscall GetIsPathAbsolute(FFileManager * this, ulong param_1)	ok	functions/0002f950_STG__FFileManager__GetIsPathAbsolute.c	
0002f964	STG::FFileManager::GetIsPathRelative	undefined __thiscall GetIsPathRelative(FFileManager * this, ulong param_1)	ok	functions/0002f964_STG__FFileManager__GetIsPathRelative.c	
0002f974	STG::UStringBase<char,int>::Trim	undefined __thiscall Trim(UStringBase<char,int> * this)	ok	functions/0002f974_STG__UStringBase_char_int___Trim.c	
0002fcc0	std::string::_M_append	undefined __thiscall _M_append(string * this, char * param_1, char * param_2)	ok	functions/0002fcc0_std__string___M_append.c	
00030064	STG::FFileManager::GetBasePath	undefined __stdcall GetBasePath(void)	ok	functions/00030064_STG__FFileManager__GetBasePath.c	
00030270	STG::FFileManager::OpenFile	undefined __stdcall OpenFile(FFileHash * param_1, EAccess param_2)	ok	functions/00030270_STG__FFileManager__OpenFile.c	
00030348	STG::UStringBase<char,int>::Find_FromEnd	undefined __thiscall Find_FromEnd(UStringBase<char,int> * this, UStringBase * param_1, UStringBase * param_2, UStringBase * param_3)	ok	functions/00030348_STG__UStringBase_char_int___Find_FromEnd.c	
000308e0	STG::FFileManager::NormalizePath	undefined __thiscall NormalizePath(FFileManager * this, UStringBase * param_1, UStringBase * param_2)	ok	functions/000308e0_STG__FFileManager__NormalizePath.c	
00030bfc	FUN_00030bfc	undefined FUN_00030bfc(void)	ok	functions/00030bfc_FUN_00030bfc.c	
00031140	STG::FFileManager::GetPathComponents	undefined __thiscall GetPathComponents(FFileManager * this, UStringBase * param_1, UStringBase * param_2, UStringBase * param_3, UStringBase * param_4, UStringBase * param_5)	ok	functions/00031140_STG__FFileManager__GetPathComponents.c	
00031ae0	STG::FFileManager::GetPathFlags	undefined __thiscall GetPathFlags(FFileManager * this, UStringBase * param_1)	ok	functions/00031ae0_STG__FFileManager__GetPathFlags.c	
00031ccc	STG::FFileManager::GetIsPathRelative	undefined __thiscall GetIsPathRelative(FFileManager * this, UStringBase * param_1)	ok	functions/00031ccc_STG__FFileManager__GetIsPathRelative.c	
00031ce8	STG::FFileManager::GetIsPathAbsolute	undefined __thiscall GetIsPathAbsolute(FFileManager * this, UStringBase * param_1)	ok	functions/00031ce8_STG__FFileManager__GetIsPathAbsolute.c	
00031d04	STG::FFileManager::GetPathComponents	undefined __thiscall GetPathComponents(FFileManager * this, UStringBase * param_1, UStringBase * param_2, UStringBase * param_3)	ok	functions/00031d04_STG__FFileManager__GetPathComponents.c	
000323c8	STG::FFileManager::GetPathComponents	undefined __thiscall GetPathComponents(FFileManager * this, UStringBase * param_1, UStringBase * param_2, UStringBase * param_3, UStringBase * param_4)	ok	functions/000323c8_STG__FFileManager__GetPathComponents.c	
00032fa4	STG::FFileManager::BuildPath	undefined __thiscall BuildPath(FFileManager * this, UStringBase * param_1, UStringBase * param_2)	ok	functions/00032fa4_STG__FFileManager__BuildPath.c	
00032ff0	STG::FFileManager::OpenFilePath	undefined __thiscall OpenFilePath(FFileManager * this, UStringBase * param_1, EAccess param_2)	ok	functions/00032ff0_STG__FFileManager__OpenFilePath.c	
