address	name	signature	status	file	diagnostic
00059770	STG::MMatrix::SetEulerX	undefined __thiscall SetEulerX(MMatrix * this, float param_1)	ok	functions/00059770_STG__MMatrix__SetEulerX.c	
00059800	STG::MMatrix::SetEulerY	undefined __thiscall SetEulerY(MMatrix * this, float param_1)	ok	functions/00059800_STG__MMatrix__SetEulerY.c	
00059890	STG::MMatrix::SetEulerZ	undefined __thiscall SetEulerZ(MMatrix * this, float param_1)	ok	functions/00059890_STG__MMatrix__SetEulerZ.c	
00059920	STG::MMatrix::SetEulerXYZ	undefined __thiscall SetEulerXYZ(MMatrix * this, float param_1, float param_2, float param_3)	ok	functions/00059920_STG__MMatrix__SetEulerXYZ.c	
00059aa0	STG::MMatrix::SetEulerXZY	undefined __thiscall SetEulerXZY(MMatrix * this, float param_1, float param_2, float param_3)	ok	functions/00059aa0_STG__MMatrix__SetEulerXZY.c	
00059c00	STG::MMatrix::SetPosition	undefined __thiscall SetPosition(MMatrix * this, MVector3 * param_1)	ok	functions/00059c00_STG__MMatrix__SetPosition.c	
00059c30	STG::MRay3::Intersect_Test_Sphere	undefined __thiscall Intersect_Test_Sphere(MRay3 * this, MVector3 * param_1, float param_2)	ok	functions/00059c30_STG__MRay3__Intersect_Test_Sphere.c	
00059cc0	STG::MSIMD::BlendVector4f_SW	undefined __cdecl BlendVector4f_SW(float * param_1, float * param_2, float * param_3, float param_4, ulong param_5)	ok	functions/00059cc0_STG__MSIMD__BlendVector4f_SW.c	
00059d50	STG::MSIMD::Skin3Vector4f_SW	undefined __cdecl Skin3Vector4f_SW(float * param_1, float * param_2, float * param_3, float * param_4, float * param_5, float * param_6, ulong param_7)	ok	functions/00059d50_STG__MSIMD__Skin3Vector4f_SW.c	
0005a180	STG::MSIMD::MSIMD	undefined __thiscall MSIMD(MSIMD * this)	ok	functions/0005a180_STG__MSIMD__MSIMD.c	
0005a1a0	STG::MSIMD::~MSIMD	undefined __thiscall ~MSIMD(MSIMD * this)	ok	functions/0005a1a0_STG__MSIMD___MSIMD.c	
0005a1b0	STG::MSIMD::Initialize	undefined __thiscall Initialize(MSIMD * this)	ok	functions/0005a1b0_STG__MSIMD__Initialize.c	
0005a220	STG::MSIMD::Platform_QueryHardwareSupported	undefined __cdecl Platform_QueryHardwareSupported(void)	ok	functions/0005a220_STG__MSIMD__Platform_QueryHardwareSupported.c	
0005a250	STG::UPreferenceBase::GetKeySuffix	undefined __thiscall GetKeySuffix(UPreferenceBase * this, UStringBase * param_1)	ok	functions/0005a250_STG__UPreferenceBase__GetKeySuffix.c	
0005a270	STG::UPreference<STG::UStringBase<char,int>,true>::GetNumValues	undefined __thiscall GetNumValues(UPreference<STG::UStringBase<char,int>,true> * this)	ok	functions/0005a270_STG__UPreference_STG__UStringBase_char_int__true___GetNumValues.c	
0005a280	STG::UPreference<STG::UPreference_IAB_Entry,true>::GetNumValues	undefined __thiscall GetNumValues(UPreference<STG::UPreference_IAB_Entry,true> * this)	ok	functions/0005a280_STG__UPreference_STG__UPreference_IAB_Entry_true___GetNumValues.c	
0005a290	STG::UPreference<STG::UPreference_Theme_Entry,true>::GetNumValues	undefined __thiscall GetNumValues(UPreference<STG::UPreference_Theme_Entry,true> * this)	ok	functions/0005a290_STG__UPreference_STG__UPreference_Theme_Entry_true___GetNumValues.c	
0005a2a0	STG::UPreference<STG::GETimeOfDay::EPhase,true>::GetNumValues	undefined __thiscall GetNumValues(UPreference<STG::GETimeOfDay::EPhase,true> * this)	ok	functions/0005a2a0_STG__UPreference_STG__GETimeOfDay__EPhase_true___GetNumValues.c	
0005a2b0	STG::UPreference<STG::GETimeOfDay::EPhase,true>::GetNumSelectableValues	undefined __thiscall GetNumSelectableValues(UPreference<STG::GETimeOfDay::EPhase,true> * this)	ok	functions/0005a2b0_STG__UPreference_STG__GETimeOfDay__EPhase_true___GetNumSelectableValues.c	
