address	name	signature	status	file	diagnostic
00075ba4	FUN_00075ba4	undefined FUN_00075ba4(void)	ok	functions/00075ba4_FUN_00075ba4.c	
00075bbc	FUN_00075bbc	undefined FUN_00075bbc(void)	ok	functions/00075bbc_FUN_00075bbc.c	
00075bd8	FUN_00075bd8	undefined FUN_00075bd8(void)	ok	functions/00075bd8_FUN_00075bd8.c	
00075bf0	FUN_00075bf0	undefined FUN_00075bf0(void)	ok	functions/00075bf0_FUN_00075bf0.c	
00075c04	FUN_00075c04	undefined FUN_00075c04(void)	ok	functions/00075c04_FUN_00075c04.c	
00075c1c	FUN_00075c1c	undefined FUN_00075c1c(void)	ok	functions/00075c1c_FUN_00075c1c.c	
00075c30	FUN_00075c30	undefined FUN_00075c30(void)	ok	functions/00075c30_FUN_00075c30.c	
00075c58	FUN_00075c58	undefined FUN_00075c58(void)	ok	functions/00075c58_FUN_00075c58.c	
00075d7c	__udivsi3	undefined __udivsi3(void)	ok	functions/00075d7c___udivsi3.c	
00075e24	__aeabi_uidivmod	undefined __aeabi_uidivmod(void)	ok	functions/00075e24___aeabi_uidivmod.c	
00075e44	__aeabi_drsub	undefined __aeabi_drsub(void)	ok	functions/00075e44___aeabi_drsub.c	
00075e4c	__aeabi_dsub	undefined __aeabi_dsub(void)	ok	functions/00075e4c___aeabi_dsub.c	
00075e50	__adddf3	undefined __adddf3(void)	ok	functions/00075e50___adddf3.c	
000760fc	__aeabi_ui2d	undefined __aeabi_ui2d(void)	ok	functions/000760fc___aeabi_ui2d.c	
00076120	__aeabi_i2d	undefined __aeabi_i2d(void)	ok	functions/00076120___aeabi_i2d.c	
00076148	__aeabi_f2d	undefined __aeabi_f2d(void)	ok	functions/00076148___aeabi_f2d.c	
00076188	__floatundidf	undefined __floatundidf(void)	ok	functions/00076188___floatundidf.c	
0007619c	__aeabi_l2d	undefined __aeabi_l2d(void)	ok	functions/0007619c___aeabi_l2d.c	
000761fc	__muldf3	undefined __muldf3(void)	ok	functions/000761fc___muldf3.c	
000763dc	FUN_000763dc	undefined FUN_000763dc(void)	ok	functions/000763dc_FUN_000763dc.c	
00076468	__divdf3	undefined __divdf3(void)	ok	functions/00076468___divdf3.c	
000765fc	FUN_000765fc	undefined FUN_000765fc(void)	ok	functions/000765fc_FUN_000765fc.c	
0007666c	__gedf2	undefined __gedf2(void)	ok	functions/0007666c___gedf2.c	
00076674	__ledf2	undefined __ledf2(void)	ok	functions/00076674___ledf2.c	
0007667c	__eqdf2	undefined __eqdf2(void)	ok	functions/0007667c___eqdf2.c	
00076704	__aeabi_cdrcmple	undefined __aeabi_cdrcmple(void)	ok	functions/00076704___aeabi_cdrcmple.c	
00076720	__aeabi_cdcmple	undefined __aeabi_cdcmple(void)	ok	functions/00076720___aeabi_cdcmple.c	
